AllTrace
EMI:FSCAN
A.30.11,N9038B
508 DP2 LSN NFE P08 EDP EMC ,01

Preselector,Off
Scan Type,Smooth
Number of scans,1
Y Axis Unit,dBuV/m
Ref Level Offset,0 dB
Coupling,DC
Input Z Correction,50 ohm

Start Frequency, Stop Frequency, RBW, Scan Points
30000000,1000000000,120000,16168

DATA
Trace,1,2,3
Detector,Peak,Peak,Peak
30000000,16.8180386664071,29.7673031927742,31.4527585150399
30059998.7629121,23.3548733832039,30.518707001368,31.4254681708016
30119997.5258242,23.8057629706063,30.7475049139657,31.6189725042977
30179996.2887363,22.5084912420907,30.0434033514657,31.3316647650399
30239995.0516484,24.9558102728524,30.4093854071297,30.8065793158211
30299993.8145605,17.6301037909188,30.3742444159188,30.8929440619149
30359992.5774726,22.0281064154305,29.9327542425789,30.2189099432625
30419991.3403847,22.037391388575,29.7016293646492,29.7029568792977
30479990.1032968,18.4418942572274,30.3772809149422,29.555457794825
30539988.8662089,20.039947235743,30.4701840521492,30.8686825873055
30599987.6291211,19.1176526190438,31.2777630926766,29.5635678412117
30659986.3920332,15.2556302191414,31.2596203924813,30.5762936712899
30719985.1549453,18.5508877875008,30.0551144720711,29.2084653021492
30779983.9178574,20.0039212347664,30.4197842718758,29.1707150580086
30839982.6807695,19.9857709051766,29.9012066961922,29.9025265814461
30899981.4436816,19.4306256415047,29.8647763373055,29.9235760809578
30959980.2065937,21.5395428778328,32.181419098536,30.4711529852547
31019978.9695058,21.7029950262703,31.9137112738289,29.2875516058602
31079977.7324179,23.7622677923836,29.7645718695321,29.3804623724617
31139976.49533,20.4790341498055,29.8182828070321,30.3030240179696
31199975.2582421,20.1237942816414,29.7883755804696,29.340240204493
31259974.0211542,19.4497449042,30.1961667181649,29.1992642523446
31319972.7840663,25.2379147650399,29.3039166571297,30.151878082911
31379971.5469784,27.2841260077157,29.5379407049813,30.8079144598641
31439970.3098905,25.8209225775399,29.5302426458992,29.964019501368
31499969.0728026,23.0720746161141,29.0234448553719,29.88968631045
31559967.8357147,23.0421597601571,29.2744214178719,29.7853009344735
31619966.5986268,17.6357876898446,30.9155957342782,30.6987225653328
31679965.3615389,23.3599316717782,29.0983197333016,29.2564236761727
31739964.124451,25.0076291205086,29.9555508734383,30.4272305609383
31799962.8873631,25.0953137518563,29.3376919867196,30.4038617254891
31859961.6502753,26.2543637396492,28.6270825506844,30.2328335882821
31919960.4131874,21.9899136664071,30.1088406683602,29.9037243963875
31979959.1760995,25.0421597601571,30.0436474920907,28.2118756415047
32039957.9390116,21.2445599676766,30.3839032293953,28.7833935858407
32099956.7019237,15.9700772406258,28.8814389349617,28.7795407416024
32159955.4648358,16.3072430731453,29.7255475165047,29.5857617499032
32219954.2277479,23.7520672918953,29.8523785711922,28.4086377264657
32279952.99066,24.5465237738289,28.5746380926766,29.341590607325
32339951.7535721,15.4673535467782,29.2123028875985,29.8054959417977
32399950.5164842,19.66800662295,29.9662778021492,28.8962094427742
32459949.2793963,17.9956891180672,29.6985013128914,28.857085907618
32519948.0423084,22.5543286444344,28.3828808905282,29.6058194281258
32579946.8052205,22.6471783758797,28.8363186957039,29.9220807196297
32639945.5681326,20.3385617376961,29.6242596747078,29.9038617254891
32699944.3310447,23.0928570868172,29.3159863592782,29.625640595118
32759943.0939568,19.0530697943367,29.7354733587899,28.6823880316414
32819941.8568689,22.7206418158211,29.4781491400399,28.5910031439461
32879940.619781,18.5319058539071,28.8288724066414,28.7348019720711
32939939.3826931,16.5995938421883,28.3873211981453,28.8603055121102
32999938.1456052,11.6765744330086,28.6983563543953,28.3665082098641
33059936.9085173,13.3979947210946,28.7121121527352,27.7348248602547
33119935.6714295,13.2993847967782,28.616119110743,28.7598492743172
33179934.4343416,12.419456207911,28.6429440619149,28.7722928167977
33239933.1972537,13.0250851751961,28.4803235174813,28.8291699530282
33299931.9601658,18.4767071844735,28.4796979071297,28.8390042425789
33359930.7230779,19.3658597113289,29.5870282293953,28.7926556708016
33419929.48599,16.7834927679696,29.2623898626961,28.4863125921883
33479928.2489021,19.7840268255867,28.7430798651375,27.9735180975594
33539927.0118142,18.2965542914071,28.857444489161,27.9702908636727
33599925.7747263,20.4125516058602,28.777122223536,26.8577954413094
33659924.5376384,21.4493405462899,28.3361813666024,27.7743832708992
33719923.3005505,15.8579709173836,27.5895230414071,27.8652188421883
33779922.0634626,18.1987073065438,27.9743420721688,27.8606869818367
33839920.8263747,20.5995251776375,28.3186642767586,28.0155408026375
33899919.5892868,24.9993893744149,28.1991498114266,27.9326169134774
33959918.3521989,25.0653988958992,27.9554974676766,27.5439450384774
34019917.115111,20.6479794623055,27.7425610663094,27.8915249945321
34079915.8780231,17.9787900091805,27.8027646185555,27.7675015570321
34139914.6409352,17.1309277655282,28.7618863226571,27.8120190741219
34199913.4038473,16.4411618353524,28.2380520941414,27.7650754095711
34259912.1667594,23.9526364447274,28.0565259100594,27.1955182196297
34319910.9296716,22.1601407171883,27.8933179022469,27.7038647772469
34379909.6925837,19.3733670355477,28.8681027533211,28.3376462103524
34439908.4554958,15.4903790594735,28.1705014349617,28.608192169825
34499907.2184079,12.2789685370125,27.9563061834969,27.2455594183602
34559905.98132,14.3773877264657,27.8923794867196,27.7878720404305
34619904.7442321,16.0211331488289,27.4665600897469,28.2583310248055
34679903.5071442,18.842078888575,28.4086758734383,28.1904828192391
34739902.2700563,22.769683563868,28.7341153265633,28.0337979437508
34799901.0329684,19.6340405584969,28.7315747381844,27.8940884710946
34859899.7958805,17.4940106512703,28.8335873724617,27.6420285345711
34919898.5587926,16.4044339300789,29.1916958929696,29.0283734442391
34979897.3217047,18.719749176661,29.0938031317391,28.9330975653328
35039896.0846168,18.4951169134774,29.0964963080086,27.8801114203133
35099894.8475289,15.6835171820321,28.6066357733407,27.9860379339852
35159893.610441,22.5900494696297,29.9746930243172,26.8167645575203
35219892.3733531,24.0012204291024,29.8454358221688,26.7018811346688
35279891.1362652,22.0480267645516,28.3482281805672,27.0508343817391
35339889.8991773,22.6230008246102,27.9106289984383,26.8784634710946
35399888.6620894,15.3338391424813,28.0335461737313,27.2496258856453
35459887.4250015,16.035552704493,29.5218045355477,26.0150296332039
35519886.1879136,23.7495495917,29.664329254786,26.3796536566414
35579884.9508258,23.6999966742196,29.4880292059578,26.7468945624032
35639883.7137379,19.0317761542,27.9790570379891,27.1873013617196
35699882.47665,19.4747922064461,28.7826993109383,27.4147336126961
35759881.2395621,23.0848996283211,30.0984799505867,26.7262799383797
35819880.0024742,18.8295514227547,29.8490216375985,27.528602326075
35879878.7653863,17.7020947577157,28.8470151068367,28.0918271185555
35939877.5282984,17.6682202459969,28.3440854193367,26.5240552069344
35999876.2912105,25.5690457464852,29.9747464300789,26.667876923243
36059875.0541226,25.5126645208992,29.8451916815438,26.4311825873055
36119873.8170347,15.8556973578133,27.7701565863289,26.7262341620125
36179872.5799468,18.4202267767586,28.3082425238289,27.4237057806649
36239871.3428589,19.2013165594735,28.0466992499032,26.2697827459969
36299870.105771,21.3856427313485,28.5311810614266,26.5282513739266
36359868.8686831,16.1138074042,27.8140103460946,26.4643399359383
36419867.6315952,15.3626629950203,27.2784344793953,26.3024518133797
36479866.3945073,15.3157422186532,28.2689129950203,25.7721020819344
36539865.1574194,17.9185101629891,28.2703473211922,26.449012482325
36599863.9203315,17.2888714911141,27.9934613348641,26.3459164740242
36659862.6832436,19.8851010443367,27.5637356878914,27.2802121283211
36719861.4461557,20.0825116278328,27.2894742132821,25.9920727850594
36779860.2090679,20.6614300848641,28.1192547918953,26.0666577459969
36839858.97198,12.1467282416024,28.1664044500985,26.2078778387703
36899857.7348921,12.9974133612313,27.007590973536,26.5124203802742
36959856.4978042,17.2516705633797,27.8648068548836,26.1310193182625
37019855.2607163,17.702544891993,28.1680523993172,25.9024884344735
37079854.0236284,19.6350552679696,28.438628876368,25.6974789740242
37139852.7865405,22.3893811346688,28.5458829046883,26.2489621283211
37199851.5494526,24.43949099795,27.2838513495125,25.4416272284188
37259850.3123647,24.2148739935555,27.5596539618172,25.7605435492196
37319849.0752768,15.169715607325,28.5880353094735,26.126487457911
37379847.8381889,12.8885876776375,28.4679562689461,25.5752408148446
37439846.601101,25.0331189276375,27.1131512762703,27.0504529120125
37499845.3640131,25.3507306219735,27.4569165350594,24.9130551458992
37559844.1269252,21.0744931341805,27.504058563868,24.9419095160164
37619842.8898373,23.0187604071297,28.9740445257821,26.2916943670907
37679841.6527494,23.0907437445321,27.9236981512703,26.0631634833016
37739840.4156615,21.1793667914071,28.5718457342782,26.0828778387703
37799839.1785736,17.8046567083992,28.2884442450203,24.742469513575
37859837.9414857,15.9233319403328,28.4492642523446,25.8518521429696
37919836.7043978,16.613303864161,28.4467618109383,25.7905575873055
37979835.46731,18.5615002752938,26.9325863958992,25.1517712713875
38039834.2302221,17.0902936102547,27.8523785711922,24.9492337347664
38099832.9931342,15.5008160711922,26.7058179022469,24.5069043280282
38159831.7560463,20.998069489161,26.5365521551766,24.6289975287117
38219830.5189584,19.1668774725594,26.6678158880867,25.652625763575
38279829.2818705,17.4859234930672,25.6401288153328,25.762962067286
38339828.0447826,14.9139172674813,25.0932767035164,25.0501706244149
38399826.8076947,22.0508954168953,27.0915829779305,24.9292523504891
38459825.5706068,21.7248532416024,26.8517682196297,24.9559704901375
38519824.3335189,15.5571972967782,25.58109256045,24.2261960150399
38579823.096431,15.6165845038094,26.0141369940438,24.0634686590828
38639821.8593431,22.5092389227547,26.8587567450203,23.8576199652352
38699820.6222552,22.0773694159188,25.7357327582039,24.9387356878914
38759819.3851673,17.0006863714852,25.7951123358407,24.7564007879891
38819818.1480794,19.9514767767586,25.4364010931649,25.0444333197274
38879816.9109915,19.8762814642586,26.3424145819344,24.052039826075
38939815.6739036,18.2528226019539,25.2337338568367,23.6528241278328
38999814.4368157,12.0394436957039,25.0605618597664,23.2679822088875
39059813.1997278,11.5252453924813,24.9069821478524,23.6213376166024
39119811.9626399,10.5080334784188,24.9363095404305,23.9002225042977
39179810.7255521,20.6135098578133,24.4626309515633,23.4108502508797
39239809.4884642,18.7679364325203,25.2040249945321,23.8504483343758
39299808.2513763,9.72194644228597,24.6989743353524,25.5430218817391
39359807.0142884,16.9752194525399,25.5540692450203,23.2466961981453
39419805.7772005,20.3937527777352,25.085601532618,24.1474911810555
39479804.5401126,17.5996243597664,24.5844647528328,23.438628876368
39539803.3030247,20.2499005438485,24.8346173407235,22.5494534613289
39599802.0659368,16.7776715399422,24.7764126898446,23.7742840887703
39659800.8288489,6.46824618593831,25.4772946478524,24.6581036688485
39719799.591761,20.2333829046883,23.6474072577157,24.8233182074227
39779798.3546731,20.2182919623055,23.9236752630867,23.9498211981453
39839797.1175852,11.7759320379891,24.0274884344735,23.8289029242196
39899795.8804973,14.1270062567391,23.8268811346688,23.3107907416024
39959794.6434094,10.0255047918953,24.2578122259774,25.0796353460946
40019793.4063215,19.7622067572274,23.9039914251961,25.0942685248055
40079792.1692336,18.4010388495125,23.4469678045907,23.2601315619149
40139790.9321457,12.0370862127938,22.840972626368,23.0983807684578
40199789.6950578,11.9876935125985,23.1613537909188,22.6478802801766
40259788.4579699,17.4611127020516,24.0461575628914,23.3536831976571
40319787.220882,17.4770581366219,23.1592557074227,24.7114560248055
40379785.9837942,14.861594879786,24.4059674383797,24.2152249457039
40439784.7467063,16.7001797796883,23.7033078314461,22.6593854071297
40499783.5096184,14.7693554999032,23.1430585028328,22.5838696600594
40559782.2725305,10.1940610052742,23.0649411322274,24.4681775213875
40619781.0354426,11.4251019598641,23.3918301703133,24.47367068545
40679779.7983547,13.5576626898446,22.1613232733407,22.8655697943367
40739778.5612668,14.9494015814461,23.8718564154305,22.938987457911
40799777.3241789,20.4816128851571,23.7976605536141,22.9261929632821
40859776.087091,19.7057873846688,23.5196301581063,22.7017285467782
40919774.8500031,18.4190899969735,22.1362378241219,25.2367016913094
40979773.6129152,19.1941372992196,22.7649685980477,25.1925427557625
41039772.3758273,19.4002377630867,22.6221997381844,23.2336880804696
41099771.1387394,19.2291104437508,23.4362103583016,21.570464813868
41159769.9016515,13.292144501368,22.5124966742196,23.0090024115242
41219768.6645636,18.1760708929696,22.9998776556649,23.2219922186532
41279767.4274757,17.2915570379891,23.3187024237313,22.749046051661
41339766.1903878,16.1548764349617,23.8687665106453,22.9293667914071
41399764.9532999,18.1800534369149,23.2285840155282,22.4172284247078
41459763.716212,18.1317364813485,22.1559369208016,22.4669034125008
41519762.4791241,12.8454434515633,21.9860913397469,22.0083157660164
41579761.2420362,13.7482983709969,22.7648236395516,22.4120709540047
41639760.0049483,17.4994351507821,22.4630505682625,21.8790204168953
41699758.7678605,17.5817639471688,22.2291791083016,23.2391583563485
41759757.5307726,15.6010586859383,22.1821667792,23.6507489325203
41819756.2936847,15.5566556097664,22.1456067206063,22.8341748358407
41879755.0565968,12.0185315252938,22.1600033880867,22.5833356024422
41939753.8195089,12.6326367499032,21.9784161688485,21.6256558539071
41999752.582421,15.2274777533211,21.7053830267586,22.6866070868172
42059751.3453331,14.9809949042,21.1283490301766,22.4649502875008
42119750.1082452,14.9892422796883,21.2188946844735,22.3281705023446
42179748.8711573,11.3417431952157,21.0834118963875,22.2854535223641
42239747.6340694,10.9214322210946,21.6260449530282,21.7397153021492
42299746.3969815,9.15014621035237,21.9204022528328,21.3037259222664
42359745.1598936,3.31417819277425,21.4609067083992,21.1329724432625
42419743.9228057,7.39494296328206,22.6581036688485,21.5736844183602
42479742.6857178,11.7540051581063,22.7826306463875,21.3140790106453
42539741.4486299,11.8223569037117,21.4542691351571,20.993072235743
42599740.211542,15.9331738592782,21.7460324408211,21.8780057074227
42659738.9744541,15.7062298895516,21.0997006537117,22.1658475042977
42719737.7373662,15.413970673243,21.574371063868,22.6745068670907
