AllTrace
EMI:FSCAN
A.30.11,N9038B
508 DP2 LSN NFE P08 EDP EMC ,01

Preselector,Off
Scan Type,Smooth
Number of scans,1
Y Axis Unit,dBuV/m
Ref Level Offset,0 dB
Coupling,DC
Input Z Correction,50 ohm

Start Frequency, Stop Frequency, RBW, Scan Points
30000000,1000000000,120000,16168

DATA
Trace,1,2,3
Detector,Peak,Peak,Peak
30000000,16.8180386664071,32.5777432562508,31.2254559637703
30059998.7629121,23.3548733832039,32.9789960028328,31.2020871283211
30119997.5258242,23.8057629706063,34.0165402533211,31.1395032049813
30179996.2887363,22.5084912420907,33.2262112738289,31.0024563910164
30239995.0516484,24.9558102728524,33.1361996771492,30.0984646917977
30299993.8145605,17.6301037909188,33.3270947577157,30.047645294825
30359992.5774726,22.0281064154305,32.4335553290047,30.158843720118
30419991.3403847,22.037391388575,32.9850537420907,29.5801770331063
30479990.1032968,18.4418942572274,33.4464108587899,30.1225430609383
30539988.8662089,20.039947235743,34.0723874212899,30.9353482367196
30599987.6291211,19.1176526190438,33.8974454046883,29.3728482367196
30659986.3920332,15.2556302191414,33.5082394720711,29.7649609686532
30719985.1549453,18.5508877875008,32.6369015814461,29.7441937567391
30779983.9178574,20.0039212347664,31.9288937689461,29.9991147162117
30839982.6807695,19.9857709051766,31.9956662298836,30.1978451849617
30899981.4436816,19.4306256415047,32.0663601996102,30.0712506415047
30959980.2065937,21.5395428778328,32.6061017157235,30.0400311590828
31019978.9695058,21.7029950262703,31.8392941595711,29.8677060248055
31079977.7324179,23.7622677923836,31.7362210394539,29.1949689032235
31139976.49533,20.4790341498055,31.74027224795,29.6419446112313
31199975.2582421,20.1237942816414,32.26956912295,29.363792145411
31259974.0211542,19.4497449042,30.407867157618,29.5285565497078
31319972.7840663,25.2379147650399,31.152740204493,28.7552106024422
31379971.5469784,27.2841260077157,31.0627286078133,29.1355664374032
31439970.3098905,25.8209225775399,30.9936215521492,29.6975171209969
31499969.0728026,23.0720746161141,31.0394894720711,29.2403714300789
31559967.8357147,23.0421597601571,30.618919098536,29.4247281195321
31619966.5986268,17.6357876898446,29.6469876410164,29.6744229437508
31679965.3615389,23.3599316717782,28.638465607325,29.3727490545907
31739964.124451,25.0076291205086,30.2169186712899,29.4199216009774
31799962.8873631,25.0953137518563,30.6155621649422,29.7153470160164
31859961.6502753,26.2543637396492,30.6052395941414,30.2093579413094
31919960.4131874,21.9899136664071,31.1881100775399,29.6999432684578
31979959.1760995,25.0421597601571,32.2805249334969,30.2736584784188
32039957.9390116,21.2445599676766,32.4600751043953,30.389182770411
32099956.7019237,15.9700772406258,32.4327084662117,29.4237134100594
32159955.4648358,16.3072430731453,31.4881436468758,28.9037854315438
32219954.2277479,23.7520672918953,32.286529266993,29.1259762884774
32279952.99066,24.5465237738289,32.0357434393563,30.5658642889657
32339951.7535721,15.4673535467782,32.4434659125008,28.5982739569344
32399950.5164842,19.66800662295,32.5885693670907,28.5500104071297
32459949.2793963,17.9956891180672,32.627837860743,28.4429471136727
32519948.0423084,22.5543286444344,32.463287079493,28.7461468817391
32579946.8052205,22.6471783758797,32.1027600409188,28.5110394598641
32639945.5681326,20.3385617376961,31.976096832911,29.0663983465828
32699944.3310447,23.0928570868172,33.5780102850594,29.3878857733407
32759943.0939568,19.0530697943367,33.3598935248055,29.3383175970711
32819941.8568689,22.7206418158211,33.2149350287117,28.690337860743
32879940.619781,18.5319058539071,33.7533108832039,28.5885083319344
32939939.3826931,16.5995938421883,33.8409268500008,28.277625763575
32999938.1456052,11.6765744330086,34.5609204413094,29.3699795843758
33059936.9085173,13.3979947210946,33.8377759100594,28.3998944403328
33119935.6714295,13.2993847967782,35.1006009222664,29.4876401068367
33179934.4343416,12.419456207911,34.4767529608407,29.1982724310555
33239933.1972537,13.0250851751961,34.8053891302742,29.0003659369149
33299931.9601658,18.4767071844735,34.3317944647469,29.0663830877938
33359930.7230779,19.3658597113289,34.9491803290047,29.0932080389657
33419929.48599,16.7834927679696,34.9969098211922,29.8908993841805
33479928.2489021,19.7840268255867,34.984527313868,28.0219037176766
33539927.0118142,18.2965542914071,34.9904477240242,28.6706463934578
33599925.7747263,20.4125516058602,35.1936490179696,28.6595685125985
33659924.5376384,21.4493405462899,35.8776700140633,28.6602627875008
33719923.3005505,15.8579709173836,35.522971832911,28.2193371893563
33779922.0634626,18.1987073065438,35.1473767401375,27.6764981390633
33839920.8263747,20.5995251776375,35.4943005682625,27.9959866644539
33899919.5892868,24.9993893744149,35.4309689642586,28.3768841864266
33959918.3521989,25.0653988958992,35.4760739447274,27.513938629786
34019917.115111,20.6479794623055,34.8920819403328,27.4604031683602
34079915.8780231,17.9787900091805,35.0777127386727,28.0706631781258
34139914.6409352,17.1309277655282,34.6976010443367,28.9383084417977
34199913.4038473,16.4411618353524,35.1366955877938,27.3587796332039
34259912.1667594,23.9526364447274,34.6233212591805,28.46683474795
34319910.9296716,22.1601407171883,35.1003033758797,28.1024014593758
34379909.6925837,19.3733670355477,35.0481412054696,28.0698392035164
34439908.4554958,15.4903790594735,34.8195874334969,27.1867062689461
34499907.2184079,12.2789685370125,34.3114392401375,28.3195874334969
34559905.98132,14.3773877264657,34.6682278753914,28.0348508001961
34619904.7442321,16.0211331488289,34.1901242376961,27.9147488714852
34679903.5071442,18.842078888575,35.4562680365242,28.6974713446297
34739902.2700563,22.769683563868,34.6319348456063,27.95413943545
34799901.0329684,19.6340405584969,34.0702130438485,27.6288983465828
34859899.7958805,17.4940106512703,33.9488064886727,27.1494977118172
34919898.5587926,16.4044339300789,33.3099896551766,26.5930020453133
34979897.3217047,18.719749176661,34.1397549750008,26.3082730414071
35039896.0846168,18.4951169134774,33.494407379786,27.8605496527352
35099894.8475289,15.6835171820321,34.0328137518563,27.949500763575
35159893.610441,22.5900494696297,32.4088589789071,26.9108807684578
35219892.3733531,24.0012204291024,33.1589123846688,27.3225400091805
35279891.1362652,22.0480267645516,33.0832364203133,27.391883576075
35339889.8991773,22.6230008246102,31.4122464300789,27.0091626288094
35399888.6620894,15.3338391424813,31.0778729559578,26.9988095404305
35459887.4250015,16.035552704493,31.8880231024422,26.9087521673836
35519886.1879136,23.7495495917,31.6411893011727,27.0800091864266
35579884.9508258,23.6999966742196,31.4139401556649,27.854888641993
35639883.7137379,19.0317761542,31.3957516791024,28.10062381045
35699882.47665,19.4747922064461,32.0334393622078,26.999290192286
35759881.2395621,23.0848996283211,31.265289032618,26.9824063421883
35819880.0024742,18.8295514227547,30.4932095648446,26.4781720282235
35879878.7653863,17.7020947577157,30.718040192286,26.2025906683602
35939877.5282984,17.6682202459969,30.9755246283211,26.8507306219735
35999876.2912105,25.5690457464852,31.9581524969735,27.8202969671883
36059875.0541226,25.5126645208992,32.813743317286,26.621978485743
36119873.8170347,15.8556973578133,32.7246625067391,26.7667767645516
36179872.5799468,18.4202267767586,32.0776898504891,27.1859585882821
36239871.3428589,19.2013165594735,32.6340481878914,26.6173703314461
36299870.105771,21.3856427313485,31.9583279730477,26.081451141993
36359868.8686831,16.1138074042,32.7280041815438,26.7884137274422
36419867.6315952,15.3626629950203,32.6758648993172,26.9858166815438
36479866.3945073,15.3157422186532,32.6093442083992,26.4998929144539
36539865.1574194,17.9185101629891,32.2775876166024,25.7017056585946
36599863.9203315,17.2888714911141,32.9545056463875,27.04495974795
36659862.6832436,19.8851010443367,32.4973218084969,26.0011365057625
36719861.4461557,20.0825116278328,32.8645856024422,27.3522336126961
36779860.2090679,20.6614300848641,32.8385693670907,26.0314175726571
36839858.97198,12.1467282416024,32.6727444769539,26.7749631048836
36899857.7348921,12.9974133612313,32.5591961981453,27.1461407782235
36959856.4978042,17.2516705633797,32.7278515936532,26.362327301661
37019855.2607163,17.702544891993,32.9161145331063,27.4521023871102
37079854.0236284,19.6350552679696,33.1501080633797,27.5802685858407
37139852.7865405,22.3893811346688,34.0033948065438,26.286887848536
37199851.5494526,24.43949099795,33.6912533880867,25.8179547430672
37259850.3123647,24.2148739935555,32.8669278265633,26.0362622381844
37319849.0752768,15.169715607325,33.406646454493,25.9070279242196
37379847.8381889,12.8885876776375,33.6510922552742,26.0600125433602
37439846.601101,25.0331189276375,33.6263806463875,24.7783963324227
37499845.3640131,25.3507306219735,32.7432706000008,25.216216766993
37559844.1269252,21.0744931341805,32.7054974676766,24.9275815130867
37619842.8898373,23.0187604071297,32.3162533880867,25.8762509466805
37679841.6527494,23.0907437445321,32.9121625067391,25.7823025824227
37739840.4156615,21.1793667914071,32.8142850042977,25.5929638983407
37799839.1785736,17.8046567083992,33.1253659369149,25.7642438055672
37859837.9414857,15.9233319403328,32.4303891302742,26.0282742621102
37919836.7043978,16.613303864161,32.4644696356453,25.4130017401375
37979835.46731,18.5615002752938,32.1497113348641,25.0890957953133
38039834.2302221,17.0902936102547,32.3861767889657,24.8983151556649
38099832.9931342,15.5008160711922,31.1925809027352,25.4711835028328
38159831.7560463,20.998069489161,31.5185010077157,24.9700543524422
38219830.5189584,19.1668774725594,31.6236188055672,24.994163239161
38279829.2818705,17.4859234930672,32.5871350409188,25.5761639715828
38339828.0447826,14.9139172674813,31.3112179876961,25.7792737127938
38399826.8076947,22.0508954168953,32.2094113470711,24.7568280340828
38459825.5706068,21.7248532416024,30.9034497381844,24.7456586004891
38519824.3335189,15.5571972967782,31.2437359930672,24.7344891668953
38579823.096431,15.6165845038094,30.9385983587899,24.3718564154305
38639821.8593431,22.5092389227547,29.897857391993,24.5279233099617
38699820.6222552,22.0773694159188,29.4215619208016,24.420074188868
38759819.3851673,17.0006863714852,30.377235138575,24.6022717596688
38819818.1480794,19.9514767767586,28.8360974432625,25.1829754950203
38879816.9109915,19.8762814642586,29.5552899481453,24.2702786566414
38939815.6739036,18.2528226019539,29.2161709906258,23.5039136053719
38999814.4368157,12.0394436957039,27.7900082708992,23.2601849676766
39059813.1997278,11.5252453924813,27.5488812567391,23.4267041327157
39119811.9626399,10.5080334784188,26.6100613714852,23.6350400091805
39179810.7255521,20.6135098578133,26.6942669989266,23.1169201971688
39239809.4884642,18.7679364325203,27.0567776800789,23.9001385809578
39299808.2513763,9.72194644228597,26.8404690863289,23.8484646917977
39359807.0142884,16.9752194525399,25.4900891424813,23.3029172064461
39419805.7772005,20.3937527777352,25.7036435248055,23.8326565863289
39479804.5401126,17.5996243597664,26.1902768255867,24.0331570746102
39539803.3030247,20.2499005438485,25.2592846991219,22.9506070257821
39599802.0659368,16.7776715399422,25.3448025824227,23.5705029608407
39659800.8288489,6.46824618593831,25.5230862738289,22.9896771551766
39719799.591761,20.2333829046883,24.4954220892586,23.404449188868
39779798.3546731,20.2182919623055,24.8788220526375,22.8340680243172
39839797.1175852,11.7759320379891,25.7273709417977,22.8320462347664
39899795.8804973,14.1270062567391,25.7619244696297,23.0273129583992
39959794.6434094,10.0255047918953,25.3710400702157,22.7736050726571
40019793.4063215,19.7622067572274,26.6282040716805,23.5551907660164
40079792.1692336,18.4010388495125,26.4638440252938,23.4012829901375
40139790.9321457,12.0370862127938,26.4379803778328,24.3213574530282
40199789.6950578,11.9876935125985,26.4604489447274,23.8120648504891
40259788.4579699,17.4611127020516,25.3423001410164,22.4639660956063
40319787.220882,17.4770581366219,26.5040890814461,22.9750897528328
40379785.9837942,14.861594879786,25.5440365912117,23.7148587347664
40439784.7467063,16.7001797796883,25.5926434637703,23.8052746893563
40499783.5096184,14.7693554999032,25.6098935248055,22.1671216131844
40559782.2725305,10.1940610052742,26.3757931830086,22.0079800726571
40619781.0354426,11.4251019598641,25.7371518255867,23.0756985785164
40679779.7983547,13.5576626898446,25.9347073675789,22.9557644964852
40739778.5612668,14.9494015814461,25.9872281195321,23.4943234564461
40799777.3241789,20.4816128851571,25.7692944647469,23.3769986273446
40859776.087091,19.7057873846688,27.0120923163094,23.2701260687508
40919774.8500031,18.4190899969735,27.0306393744149,23.185455048243
40979773.6129152,19.1941372992196,25.7478711249032,23.7031170965828
41039772.3758273,19.4002377630867,26.093772614161,23.9209744574227
41099771.1387394,19.2291104437508,26.3916928412117,23.8609006048836
41159769.9016515,13.292144501368,24.8538968207039,22.964622223536
41219768.6645636,18.1760708929696,25.977561676661,22.3597104193367
41279767.4274757,17.2915570379891,25.436675751368,22.7098919989266
41339766.1903878,16.1548764349617,25.252464020411,21.8724133612313
41399764.9532999,18.1800534369149,26.2467801214852,22.276160919825
41459763.716212,18.1317364813485,26.2637860418953,22.4473492743172
41519762.4791241,12.8454434515633,24.709006989161,22.6132962347664
41579761.2420362,13.7482983709969,24.6058194281258,22.5061871649422
41639760.0049483,17.4994351507821,24.8958966375985,22.3389737250008
41699758.7678605,17.5817639471688,26.0522153021492,22.3703457953133
41759757.5307726,15.6010586859383,25.8967587591805,23.0432431341805
41819756.2936847,15.5566556097664,25.0240094305672,22.1665722967782
41879755.0565968,12.0185315252938,26.267860138575,21.1814496161141
41939753.8195089,12.6326367499032,25.5597378851571,21.6439969183602
41999752.582421,15.2274777533211,24.7144238592782,21.8386990667977
42059751.3453331,14.9809949042,24.6796033026375,21.8273999334969
42119750.1082452,14.9892422796883,23.726226532618,22.3595730902352
42179748.8711573,11.3417431952157,24.9547879339852,22.5886227728524
42239747.6340694,10.9214322210946,23.549339020411,22.0193631292977
42299746.3969815,9.15014621035237,23.0519406439461,22.4940411688485
42359745.1598936,3.31417819277425,23.4168774725594,21.8372494818367
42419743.9228057,7.39494296328206,23.2840039374032,20.749290192286
42479742.6857178,11.7540051581063,23.0139462591805,20.5863721014657
42539741.4486299,11.8223569037117,23.4834057928719,20.633811676661
42599740.211542,15.9331738592782,22.7247006537117,20.4003369452157
42659738.9744541,15.7062298895516,22.3187634588875,20.271392548243
42719737.7373662,15.413970673243,23.1566693426766,20.5605466009774
42779736.5002783,16.3655392767586,21.9380566717782,20.9607541205086
