Frequency (MHz),CISPR11_CE_CLASS_B_Group_1_AVG,CISPR11_CE_CLASS_A_Group_1_AVG
0.937420862,64,100.7740859
0.94192041,64,100.7604302
0.946419958,64,100.7468396
0.950919506,64,100.7333135
0.955419053,64,100.7198512
0.959918601,64,100.7064522
0.964418149,64,100.6931158
0.968917697,64,100.6798415
0.973417244,64,100.6666287
0.977916792,64,100.6534769
0.98241634,64,100.6403854
0.986915888,64,100.6273537
0.991415436,64,100.6143814
0.995914983,64,100.6014677
1.000414531,64,100.5886123
1.004914079,64,100.5758146
1.009413627,64,100.563074
1.013913175,64,100.5503901
1.018412722,64,100.5377624
1.02291227,64,100.5251903
1.027411818,64,100.5126734
1.031911366,64,100.5002113
1.036410913,64,100.4878033
1.040910461,64,100.4754491
1.045410009,64,100.4631482
1.049909557,64,100.4509001
1.054409105,64,100.4387044
1.058908652,64,100.4265606
1.0634082,64,100.4144683
1.067907748,64,100.4024271
1.072407296,64,100.3904365
1.076906844,64,100.3784961
1.081406391,64,100.3666055
1.085905939,64,100.3547643
1.090405487,64,100.342972
1.094905035,64,100.3312283
1.099404582,64,100.3195328
1.10390413,64,100.307885
1.108403678,64,100.2962846
1.112903226,64,100.2847312
1.117402774,64,100.2732244
1.121902321,64,100.2617638
1.126401869,64,100.2503492
1.130901417,64,100.23898
1.135400965,64,100.227656
1.139900513,64,100.2163768
1.14440006,64,100.205142
1.148899608,64,100.1939513
1.153399156,64,100.1828043
1.157898704,64,100.1717007
1.162398251,64,100.1606402
1.166897799,64,100.1496225
1.171397347,64,100.1386471
1.175896895,64,100.1277138
1.180396443,64,100.1168223
1.18489599,64,100.1059722
1.189395538,64,100.0951632
1.193895086,64,100.084395
1.198394634,64,100.0736674
1.202894181,64,100.0629799
1.207393729,64,100.0523324
1.211893277,64,100.0417245
1.216392825,64,100.0311558
1.220892373,64,100.0206262
1.22539192,64,100.0101354
1.229891468,64,99.99968295
1.234391016,64,99.98926871
1.238890564,64,99.97889235
1.243390112,64,99.96855362
1.247889659,64,99.95825223
1.252389207,64,99.94798791
1.256888755,64,99.93776041
1.261388303,64,99.92756946
1.26588785,64,99.91741479
1.270387398,64,99.90729616
1.274886946,64,99.8972133
1.279386494,64,99.88716596
1.283886042,64,99.8771539
1.288385589,64,99.86717687
1.292885137,64,99.85723462
1.297384685,64,99.84732691
1.301884233,64,99.8374535
1.306383781,64,99.82761416
1.310883328,64,99.81780865
1.315382876,64,99.80803674
1.319882424,64,99.79829819
1.324381972,64,99.78859279
1.328881519,64,99.77892031
1.333381067,64,99.76928053
1.337880615,64,99.75967322
1.342380163,64,99.75009816
1.346879711,64,99.74055515
1.351379258,64,99.73104397
1.355878806,64,99.7215644
1.360378354,64,99.71211623
1.364877902,64,99.70269927
1.36937745,64,99.6933133
1.373876997,64,99.68395812
1.378376545,64,99.67463353
1.382876093,64,99.66533933
1.387375641,64,99.65607532
1.391875188,64,99.64684131
1.396374736,64,99.6376371
1.400874284,64,99.6284625
1.405373832,64,99.61931732
1.40987338,64,99.61020137
1.414372927,64,99.60111448
1.418872475,64,99.59205644
1.423372023,64,99.58302708
1.427871571,64,99.57402623
1.432371118,64,99.56505369
1.436870666,64,99.55610929
1.441370214,64,99.54719286
1.445869762,64,99.53830422
1.45036931,64,99.5294432
1.454868857,64,99.52060962
1.459368405,64,99.51180333
1.463867953,64,99.50302414
1.468367501,64,99.4942719
1.472867049,64,99.48554644
1.477366596,64,99.47684759
1.481866144,64,99.46817519
1.486365692,64,99.45952909
1.49086524,64,99.45090912
1.495364787,64,99.44231513
1.499864335,64,99.43374696
1.504363883,64,99.42520445
1.508863431,64,99.41668746
1.513362979,64,99.40819583
1.517862526,64,99.39972941
1.522362074,64,99.39128804
1.526861622,64,99.3828716
1.53136117,64,99.37447991
1.535860718,64,99.36611285
1.540360265,64,99.35777027
1.544859813,64,99.34945202
1.549359361,64,99.34115796
1.553858909,64,99.33288795
1.558358456,64,99.32464186
1.562858004,64,99.31641954
1.567357552,64,99.30822086
1.5718571,64,99.30004569
1.576356648,64,99.29189388
1.580856195,64,99.28376531
1.585355743,64,99.27565984
1.589855291,64,99.26757734
1.594354839,64,99.25951768
1.598854386,64,99.25148074
1.603353934,64,99.24346639
1.607853482,64,99.23547449
1.61235303,64,99.22750493
1.616852578,64,99.21955758
1.621352125,64,99.21163232
1.625851673,64,99.20372901
1.630351221,64,99.19584755
1.634850769,64,99.18798782
1.639350317,64,99.18014968
1.643849864,64,99.17233303
1.648349412,64,99.16453774
1.65284896,64,99.15676371
1.657348508,64,99.14901081
1.661848055,64,99.14127893
1.666347603,64,99.13356795
1.670847151,64,99.12587777
1.675346699,64,99.11820827
1.679846247,64,99.11055934
1.684345794,64,99.10293088
1.688845342,64,99.09532276
1.69334489,64,99.08773489
1.697844438,64,99.08016715
1.702343986,64,99.07261944
1.706843533,64,99.06509165
1.711343081,64,99.05758369
1.715842629,64,99.05009544
1.720342177,64,99.04262679
1.724841724,64,99.03517766
1.729341272,64,99.02774794
1.73384082,64,99.02033752
1.738340368,64,99.0129463
1.742839916,64,99.0055742
1.747339463,64,98.9982211
1.751839011,64,98.99088691
1.756338559,64,98.98357154
1.760838107,64,98.97627488
1.765337655,64,98.96899685
1.769837202,64,98.96173734
1.77433675,64,98.95449627
1.778836298,64,98.94727353
1.783335846,64,98.94006904
1.787835393,64,98.93288271
1.792334941,64,98.92571444
1.796834489,64,98.91856414
1.801334037,64,98.91143172
1.805833585,64,98.9043171
1.810333132,64,98.89722019
1.81483268,64,98.89014089
1.819332228,64,98.88307912
1.823831776,64,98.8760348
1.828331323,64,98.86900783
1.832830871,64,98.86199814
1.837330419,64,98.85500563
1.841829967,64,98.84803023
1.846329515,64,98.84107184
1.850829062,64,98.8341304
1.85532861,64,98.8272058
1.859828158,64,98.82029798
1.864327706,64,98.81340686
1.868827254,64,98.80653234
1.873326801,64,98.79967436
1.877826349,64,98.79283283
1.882325897,64,98.78600767
1.886825445,64,98.77919881
1.891324992,64,98.77240617
1.89582454,64,98.76562967
1.900324088,64,98.75886923
1.904823636,64,98.75212478
1.909323184,64,98.74539624
1.913822731,64,98.73868354
1.918322279,64,98.73198661
1.922821827,64,98.72530536
1.927321375,64,98.71863973
1.931820923,64,98.71198965
1.93632047,64,98.70535503
1.940820018,64,98.69873582
1.945319566,64,98.69213193
1.949819114,64,98.6855433
1.954318661,64,98.67896986
1.958818209,64,98.67241153
1.963317757,64,98.66586825
1.967817305,64,98.65933995
1.972316853,64,98.65282656
1.9768164,64,98.64632802
1.981315948,64,98.63984424
1.985815496,64,98.63337518
1.990315044,64,98.62692076
1.994814591,64,98.62048091
1.999314139,64,98.61405557
2.003813687,64,98.60764468
2.008313235,64,98.60124816
2.012812783,64,98.59486597
2.01731233,64,98.58849802
2.021811878,64,98.58214426
2.026311426,64,98.57580462
2.030810974,64,98.56947905
2.035310522,64,98.56316747
2.039810069,64,98.55686984
2.044309617,64,98.55058608
2.048809165,64,98.54431613
2.053308713,64,98.53805994
2.05780826,64,98.53181745
2.062307808,64,98.52558859
2.066807356,64,98.5193733
2.071306904,64,98.51317154
2.075806452,64,98.50698323
2.080305999,64,98.50080831
2.084805547,64,98.49464674
2.089305095,64,98.48849846
2.093804643,64,98.4823634
2.098304191,64,98.47624151
2.102803738,64,98.47013273
2.107303286,64,98.46403702
2.111802834,64,98.4579543
2.116302382,64,98.45188453
2.120801929,64,98.44582765
2.125301477,64,98.43978361
2.129801025,64,98.43375235
2.134300573,64,98.42773382
2.138800121,64,98.42172796
2.143299668,64,98.41573473
2.147799216,64,98.40975407
2.152298764,64,98.40378592
2.156798312,64,98.39783023
2.16129786,64,98.39188696
2.165797407,64,98.38595605
2.170296955,64,98.38003744
2.174796503,64,98.3741311
2.179296051,64,98.36823696
2.183795598,64,98.36235498
2.188295146,64,98.3564851
2.192794694,64,98.35062728
2.197294242,64,98.34478147
2.20179379,64,98.33894762
2.206293337,64,98.33312568
2.210792885,64,98.3273156
2.215292433,64,98.32151733
2.219791981,64,98.31573083
2.224291528,64,98.30995605
2.228791076,64,98.30419293
2.233290624,64,98.29844144
2.237790172,64,98.29270153
2.24228972,64,98.28697314
2.246789267,64,98.28125624
2.251288815,64,98.27555077
2.255788363,64,98.2698567
2.260287911,64,98.26417397
2.264787459,64,98.25850255
2.269287006,64,98.25284238
2.273786554,64,98.24719343
2.278286102,64,98.24155564
2.28278565,64,98.23592897
2.287285197,64,98.23031339
2.291784745,64,98.22470884
2.296284293,64,98.21911528
2.300783841,64,98.21353267
2.305283389,64,98.20796097
2.309782936,64,98.20240014
2.314282484,64,98.19685012
2.318782032,64,98.19131089
2.32328158,64,98.1857824
2.327781128,64,98.1802646
2.332280675,64,98.17475746
2.336780223,64,98.16926093
2.341279771,64,98.16377497
2.345779319,64,98.15829955
2.350278866,64,98.15283462
2.354778414,64,98.14738015
2.359277962,64,98.14193608
2.36377751,64,98.13650239
2.368277058,64,98.13107903
2.372776605,64,98.12566597
2.377276153,64,98.12026316
2.381775701,64,98.11487057
2.386275249,64,98.10948816
2.390774797,64,98.10411588
2.395274344,64,98.09875371
2.399773892,64,98.0934016
2.40427344,64,98.08805952
2.408772988,64,98.08272742
2.413272535,64,98.07740528
2.417772083,64,98.07209304
2.422271631,64,98.06679069
2.426771179,64,98.06149818
2.431270727,64,98.05621547
2.435770274,64,98.05094253
2.440269822,64,98.04567932
2.44476937,64,98.0404258
2.449268918,64,98.03518195
2.453768465,64,98.02994772
2.458268013,64,98.02472308
2.462767561,64,98.01950799
2.467267109,64,98.01430243
2.471766657,64,98.00910634
2.476266204,64,98.00391971
2.480765752,64,97.9987425
2.4852653,64,97.99357466
2.489764848,64,97.98841618
2.494264396,64,97.98326701
2.498763943,64,97.97812711
2.503263491,64,97.97299647
2.507763039,64,97.96787504
2.512262587,64,97.96276279
2.516762134,64,97.95765969
2.521261682,64,97.9525657
2.52576123,64,97.9474808
2.530260778,64,97.94240495
2.534760326,64,97.93733811
2.539259873,64,97.93228026
2.543759421,64,97.92723137
2.548258969,64,97.9221914
2.552758517,64,97.91716032
2.557258065,64,97.9121381
2.561757612,64,97.90712471
2.56625716,64,97.90212012
2.570756708,64,97.8971243
2.575256256,64,97.89213721
2.579755803,64,97.88715882
2.584255351,64,97.88218912
2.588754899,64,97.87722806
2.593254447,64,97.87227561
2.597753995,64,97.86733175
2.602253542,64,97.86239644
2.60675309,64,97.85746967
2.611252638,64,97.85255138
2.615752186,64,97.84764157
2.620251733,64,97.84274019
2.624751281,64,97.83784723
2.629250829,64,97.83296264
2.633750377,64,97.82808641
2.638249925,64,97.8232185
2.642749472,64,97.81835888
2.64724902,64,97.81350754
2.651748568,64,97.80866443
2.656248116,64,97.80382953
2.660747664,64,97.79900281
2.665247211,64,97.79418426
2.669746759,64,97.78937382
2.674246307,64,97.78457149
2.678745855,64,97.77977724
2.683245402,64,97.77499102
2.68774495,64,97.77021283
2.692244498,64,97.76544263
2.696744046,64,97.7606804
2.701243594,64,97.75592611
2.705743141,64,97.75117972
2.710242689,64,97.74644123
2.714742237,64,97.74171059
2.719241785,64,97.73698779
2.723741333,64,97.7322728
2.72824088,64,97.72756559
2.732740428,64,97.72286614
2.737239976,64,97.71817442
2.741739524,64,97.7134904
2.746239071,64,97.70881407
2.750738619,64,97.70414539
2.755238167,64,97.69948434
2.759737715,64,97.6948309
2.764237263,64,97.69018504
2.76873681,64,97.68554673
2.773236358,64,97.68091596
2.777735906,64,97.6762927
2.782235454,64,97.67167691
2.786735002,64,97.66706859
2.791234549,64,97.6624677
2.795734097,64,97.65787422
2.800233645,64,97.65328813
2.804733193,64,97.6487094
2.80923274,64,97.64413801
2.813732288,64,97.63957394
2.818231836,64,97.63501716
2.822731384,64,97.63046765
2.827230932,64,97.62592538
2.831730479,64,97.62139034
2.836230027,64,97.6168625
2.840729575,64,97.61234184
2.845229123,64,97.60782833
2.84972867,64,97.60332195
2.854228218,64,97.59882269
2.858727766,64,97.59433051
2.863227314,64,97.58984539
2.867726862,64,97.58536732
2.872226409,64,97.58089627
2.876725957,64,97.57643222
2.881225505,64,97.57197515
2.885725053,64,97.56752503
2.890224601,64,97.56308184
2.894724148,64,97.55864556
2.899223696,64,97.55421618
2.903723244,64,97.54979367
2.908222792,64,97.545378
2.912722339,64,97.54096916
2.917221887,64,97.53656712
2.921721435,64,97.53217187
2.926220983,64,97.52778338
2.930720531,64,97.52340164
2.935220078,64,97.51902662
2.939719626,64,97.5146583
2.944219174,64,97.51029666
2.948718722,64,97.50594168
2.95321827,64,97.50159334
